節,表,#,区分,箇所,原文,修正案,理由
2-1,A,1,確認,冒頭文の主述対応,「このパート（2章〜4章）では、いきなり難しい作品づくりに入る前に「自分のキャラクターやイラストを使って…」」,,主語と述語の対応がやや曖昧。「〜道筋を整理しながら解説します」のように整理すると読みやすい
2-1,A,2,提案,到達点①〜③の各サブセクション末尾,,,"励ましパートが各所で似た内容（「止まらなくなる」「特別な体験」等）。バリエーションがあるとより読み進めやすい"
2-1,A,3,確認,到達点③タイトル,短い動画 / 短いショート動画,ショート動画,「ショート」自体が「短い」の意味なので重複
2-1,A,4,確認,「ポイント」セクション,,,"「動画を作りたい人ほど画像の基準を固める方が近道」が4回近く繰り返し。表現を変えるかまとめ1箇所に集約すると冗長感が減る"
2-1,A,5,確認,「本書でご案内する作業の流れ」,Wan2.2 / WebUI / Google Colab,,"初出時に簡単な補足（「動画生成AI」「ブラウザ上の操作画面」「クラウド実行環境」程度）があると安心"
2-1,A,6,確認,到達点③ SNS投稿用,15〜30秒前後,15〜30秒程度,「〜」が範囲を示しているので「前後」は不要
2-1,A,7,提案,投稿告知セクション,情報の付加価値としての独自性を高めてくれると思います,,初心者向けの語り口に合わせてもう少し噛み砕いた表現の方が馴染む
2-1,A,8,確認,到達点②,タネ絵,,一般的な用語ではないので初出時に「タネ絵（動画の元になる画像）」のように補足があると親切
2-1,B,1,誤字,MV説明末尾,サインプルイメージ,サンプルイメージ,タイプミス
2-1,B,2,文法,「ポイント」セクション,生成画像の結果がブレた絵・崩れた絵を素材だと,〜崩れた絵を素材にすると,助詞「を」と「だと」が噛み合っていない
2-1,B,3,文法,MVセクション冒頭,動画に楽曲を加えキャラクターの演技、,動画に楽曲を加え、キャラクターの演技、,読点がないと文意が取りづらい
2-1,B,4,文法,SNS投稿用セクション,複数のカットを連続的に並べたり、動画編集ソフトなどで繋いだ短い尺動画など,複数のカットを連続的に並べたり、動画編集ソフトでつないだりした短い動画,「〜たり」は対で使うのが原則。「など」との接続が不完全
2-1,B,5,表記ゆれ,,迷い辛く,迷いづらく,接尾辞は「づらい」
2-1,B,6,表記ゆれ,,出来る（3箇所）,できる,補助動詞はひらがな
2-1,B,7,表記ゆれ,,覚える事は,覚えることは,形式名詞はひらがな
2-1,B,8,表記ゆれ,,次の様な / 到達点の様なもの,次のような / 到達点のようなもの,助動詞的用法はひらがな
2-1,B,9,表記ゆれ,,繋ぎ合わせて / 繋いだ（2箇所）,つなぎ合わせて / つないだ,常用漢字外
2-1,B,10,表記ゆれ,,おススメ,要統一（おすすめ/オススメ）,前回から継続の確認事項
2-1,B,11,表記ゆれ,,ラク,要統一（楽/らく）,前回から継続の確認事項
2-1,B,12,表記ゆれ,,なって行きます,なっていきます,補助動詞はひらがな
2-1,B,13,表記ゆれ,,短いショート動画（短尺1カット）,ショート動画（1カット）,「短い」と「ショート」が重複
2-1,B,14,冗長,,15〜30秒前後,15〜30秒程度,「〜」と「前後」が意味重複
2-1,B,15,表記,,到達点の1つ / 到達点のひとつ,統一確認,数字表記「1つ」とひらがな「ひとつ」が混在
2-2,A,1,確認,OSSセクション全体,,,"OSS解説が全体の約半分。「地図の例え」が各項目で繰り返されるため、メリ・デメを表1つにまとめ、例えは冒頭1回に絞るとコンパクトになる"
2-2,A,2,確認,「代表的な生成ツール」と「OSS生成ツールの種類」,,,"ほぼ同じ内容（Forge、ComfyUIの紹介）が2回登場。統合を検討"
2-2,A,3,確認,まとめ表 vs 本文,VRAM 8〜12GBでも可 vs VRAM 12GBで基本動作,,まとめの「8GB」は本文中に根拠がない。整合性を確認
2-2,A,4,確認,クラウド環境セクション,Jupiter Notebook,Jupyter Notebook,固有名詞のスペルミス。初心者が検索できなくなる
2-2,A,5,確認,クラウド環境セクション,Google Colab_,Google Colab,不要なアンダースコア（編集時の残り？）
2-2,A,6,提案,トラブルシューティング①の順序,,,"「AIチャットに相談」が最初だが「まずエラーメッセージで検索→AIに相談→コミュニティ」の順が趣旨と合致"
2-2,A,7,確認,SSD説明 vs 推奨スペック表,最低100GB〜250GB vs 1TB以上,,数値が大きく異なる。説明文側の数値と揃えた方が混乱しにくい
2-2,A,8,確認,ざすこ式セクション,ざすこ式を推奨,,「ざすこ式」が何かの説明が初出時にない。補足が必要
2-2,A,9,確認,クラウドの流れ「3. Notebook」,"notebookは、環境インストールや必要ファイルのダウンロードを自動化",,一般的なJupyter Notebookの説明としては不正確。「本書で用意したnotebook」が自動化する旨明記
2-2,A,10,提案,冷却装置の説明,熱で機材が暴走したり機材が痛まない様に,動作が不安定になったりパーツの寿命が縮んだりするのを防ぐために,初心者向けにはより具体的な表現が伝わりやすい
2-2,A,11,重要,推奨スペック表「GPU」欄,RTX 4060 Ti / RTX 4070を推奨,,"RTX 4060（VRAM 8GB）とRTX 4060 Ti（VRAM 16GB）は別物。型番が似ていてもVRAMが違うという注意書きが必要"
2-2,A,12,重要,推奨スペック全般,,,"ノートPCユーザーへの言及がない。ゲーミングノートで始める人は多いので「ノートPC版GPUはVRAM/性能が低い場合がある」「VRAM確認方法」を追記すべき"
2-2,A,13,確認,まとめ表,VRAM 8〜12GBでも可,,8GBで何ができて何ができないか（SDXLは厳しい等）の補足が必要
2-2,B,1,誤字,,Jupiter Notebook,Jupyter Notebook,固有名詞スペルミス
2-2,B,2,誤字,,Google Colab_,Google Colab,不要なアンダースコア
2-2,B,3,誤字,,そし　て使う上で,そして使う上で,不要なスペース
2-2,B,4,表記ゆれ,,出来る,できる,補助動詞ひらがな
2-2,B,5,表記ゆれ,,分かり易く,分かりやすく,送りがな統一
2-2,B,6,表記ゆれ,,とっつき辛い,とっつきづらい,接尾辞「づらい」
2-2,B,7,表記ゆれ,,痛まない様に,傷まないように,「様」→ひらがな＋物は「傷む」
2-2,B,8,表記ゆれ,,決める事で,決めることで,形式名詞ひらがな
2-2,B,9,表記ゆれ,,という事が多い,ということが多い,形式名詞ひらがな
2-2,B,10,表記ゆれ,,覚える事は,覚えることは,形式名詞ひらがな
2-2,B,11,表記ゆれ,,ざすこ式の様な,ざすこ式のような,助動詞的ひらがな
2-2,B,12,文法,,イラストや動画が生成が出来るように,イラストや動画を生成できるように,助詞「が」の重複＋補助動詞
2-2,B,13,文法,,なるべく嚙み砕いた説明且つ、説明も要点に絞ることで,なるべく噛み砕いた説明で、要点に絞ることで,「且つ」は硬い＋「説明」が重複
2-2,B,14,文法,,ひっ迫させない,圧迫させない,「ひっ迫」は表記として中途半端。「圧迫」の方が分かりやすい
2-2,B,15,表記,,処理速度は早くなりますが,処理速度は速くなりますが,速度には「速い」を使う
2-2,B,16,表記,,生成ＡＩツール,生成AIツール,全角英字→半角に統一
2-2,B,17,表記,,StableDiffusionXL,Stable Diffusion XL,スペース区切りが正式表記
2-2,B,18,表記,,GoogleColab / GoogleDrive,Google Colab / Google Drive,スペース区切りが正式
2-2,B,19,文法,,動かせるというのが最大のメリットです,動かせるのが最大のメリットです,やや冗長
2-2,B,20,文法,,承認」の確認工程が一手間発生,承認」の確認がひと手間かかります,「工程が発生」はやや硬い
2-2,B,21,表記ゆれ,,下さい,ください,補助動詞ひらがな
2-2,PC実機,1,重要,推奨スペック vs 実機検証,"RTX 4060 Laptop GPU = VRAM 8GB（推奨の12GB未満）",,ノートPC版RTX 4060はVRAM 8GB。書籍の推奨スペック表ではこの点に触れていない。型番だけ見て判断する初心者が混乱する
2-2,PC実機,2,確認,RAM,実機RAM 16GB（推奨32GB）,,最低ラインではあるが推奨に満たない。「16GBでも動くが余裕はない」等の補足があると初心者は安心
